net,length_um
u_wm0.u_dm.data_mem\[3\]\[17\],88.2µm
u_wm0.u_dm.data_mem\[12\]\[20\],88.18µm
net1908,88.02µm
U_rf0.rd\[6\]\[25\],88µm
_3181_,87.9µm
net1247,87.855µm
net1267,87.835µm
_1613_,87.76µm
net2804,87.48µm
U_rf0.rd\[3\]\[12\],87.28µm
net1790,87.28µm
U_rf0.rd\[7\]\[15\],87.22µm
net1094,87.2µm
net1214,87.155µm
_2855_,87.03µm
net1157,86.96µm
net1283,86.79µm
_0856_,86.64µm
net2164,86.62µm
_3016_,86.4µm
pc\[16\],86.32µm
net1805,86.15µm
_1836_,86.12µm
net1357,86.1µm
net2048,86.05µm
U_rf0.rd\[5\]\[12\],86.03µm
_2710_,85.94µm
pc_plus4\[5\],85.88µm
_1847_,85.54µm
_1610_,85.44µm
net1711,85.435µm
net1336,85.4µm
U_rf0.rd\[2\]\[20\],85.2µm
net2034,85.2µm
net1773,85.19µm
_2564_,85.18µm
u_wm0.u_dm.data_mem\[8\]\[11\],85.18µm
_2193_,85.16µm
net2160,85.14µm
clknet_leaf_45_clk,84.88µm
net1878,84.88µm
net2919,84.86µm
net1954,84.74µm
_3133_,84.68µm
U_rf0.rd\[3\]\[4\],84.64µm
net1204,84.55µm
net1414,84.51µm
net1950,84.3µm
_3225_,84.22µm
_1234_,84.14µm
_0848_,84.1µm
net1264,83.8µm
net1615,83.43µm
net2185,83.42µm
net2366,83.4µm
u_wm0.u_dm.data_mem\[12\]\[21\],83.35µm
_3180_,83.3µm
U_rf0.rd\[10\]\[1\],83.1µm
net1952,83.1µm
net1953,83.06µm
_3154_,82.96µm
net2095,82.92µm
u_wm0.u_dm.data_mem\[8\]\[18\],82.84µm
net1312,82.58µm
net1896,82.46µm
net1689,82.42µm
_1282_,82.17µm
net1540,82.08µm
U_rf0.rd\[7\]\[22\],82.04µm
_0945_,81.96µm
net2130,81.62µm
net1154,81.61µm
net1834,81.08µm
net1971,81.08µm
net2090,81µm
net1947,80.74µm
_2871_,80.46µm
net2165,80.42µm
_1459_,80.34µm
net1322,80.32µm
net1121,80.2µm
U_rf0.rd\[4\]\[26\],80.15µm
U_rf0.rd\[6\]\[7\],80.04µm
net1114,80µm
U_rf0.rd\[2\]\[11\],79.84µm
_1086_,79.7µm
U_rf0.rd\[3\]\[13\],79.67µm
_3247_,79.58µm
net2367,79.44µm
_1211_,79.3µm
_2673_,79.18µm
net1131,79.16µm
_1204_,78.94µm
net1313,78.94µm
net1735,78.83µm
u_wm0.u_dm.data_mem\[1\]\[13\],78.82µm
net1466,78.77µm
_2731_,78.72µm
_2672_,78.66µm
_1507_,78.65µm
_1323_,78.4µm
_0816_,78.38µm
net2135,78.28µm
net2010,78.22µm
net1926,78.15µm
net1240,78.14µm
_1807_,78.13µm
net1607,77.95µm
net1142,77.94µm
net1665,77.84µm
net1367,77.66µm
_1980_,77.55µm
_1774_,77.48µm
_2054_,77.48µm
net2065,77.47µm
_2735_,77.44µm
net1648,77.4µm
net1224,77.24µm
net2711,77.19µm
_0853_,77.16µm
net1636,77.155µm
net1951,77.14µm
U_rf0.rd\[3\]\[16\],77.02µm
net2602,76.94µm
net1605,76.9µm
U_rf0.rd\[5\]\[13\],76.88µm
net1517,76.88µm
net2126,76.84µm
net1606,76.82µm
net2093,76.82µm
